"","symbol","cons_up","cons_dn","max_cons","total","median_logFC","FDR_comb","Fisher_P.Val","pathway_reactome"
"13","Ucp2",1,0,1,8,0.0720359822135089,0.0885008200006897,0.370189959167271,"Metabolism,Mitochondrial Uncoupling,The citric acid (TCA) cycle and respiratory electron transport,The fatty acid cycling model,Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.,The proton buffering model"
"14","Fgfr1",0,1,1,10,0.0639305425080292,0.0262908758942593,0.0921446782296401,"Signaling by Type 1 Insulin-like Growth Factor 1 Receptor (IGF1R),PI3K Cascade,Signaling by Insulin receptor,IGF1R signaling cascade,Signal Transduction,Insulin receptor signalling cascade,IRS-related events triggered by IGF1R,IRS-mediated signalling,Signaling by Receptor Tyrosine Kinases,PIP3 activates AKT signaling,Intracellular signaling by second messengers,FGFR1b ligand binding and activation,Signaling by FGFR,Signaling by FGFR1,FGFR1 ligand binding and activation,FGFR1c ligand binding and activation,FGFR1c and Klotho ligand binding and activation,L1CAM interactions,Axon guidance,Signal transduction by L1,Developmental Biology,Nervous system development,Downstream signaling of activated FGFR1, FGFR1,FGFR1,FGFR1,FRS-mediated FGFR1 signaling,Negative regulation of FGFR1 signaling,MAPK1/MAPK3 signaling,RAF/MAP kinase cascade,MAPK family signaling cascades,Negative regulation of the PI3K/AKT network,PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
"15","Rxra",1,1,1,10,0.0605243447603652,0.00383771339626467,0.127481160327447,"Metabolism,Metabolism of steroids,Bile acid and bile salt metabolism,Recycling of bile acids and salts,Metabolism of lipids,Synthesis of bile acids and bile salts,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Fatty acid metabolism,Carnitine metabolism,The citric acid (TCA) cycle and respiratory electron transport,Regulation of pyruvate dehydrogenase (PDH) complex,Pyruvate metabolism,Pyruvate metabolism and Citric Acid (TCA) cycle,Endogenous sterols,Biological oxidations,Cytochrome P450 - arranged by substrate type,Phase I - Functionalization of compounds,Transcriptional regulation of white adipocyte differentiation,Developmental Biology,RNA Polymerase II Transcription,Nuclear Receptor transcription pathway,Generic Transcription Pathway,Gene expression (Transcription),Regulation of lipid metabolism by PPARalpha,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of intracellular receptors,Metabolism of proteins,Signaling by Nuclear Receptors,Signal Transduction,Signaling by Retinoic Acid,NR1H2 and NR1H3-mediated signaling,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux,Transcriptional regulation of granulopoiesis,NR1H2 & NR1H3 regulate gene expression to control bile acid homeostasis,Cellular response to chemical stress,Cytoprotection by HMOX1,Cellular responses to stimuli,Cellular responses to stress"
"16","Sirt3",1,1,1,10,0.0522920916330074,0.00130697922764381,0.146594496151449,"Organelle biogenesis and maintenance,Mitochondrial biogenesis,Transcriptional activation of mitochondrial biogenesis,Regulation of FOXO transcriptional activity by acetylation,FOXO-mediated transcription,RNA Polymerase II Transcription,Gene expression (Transcription),Generic Transcription Pathway"
"17","Sod2",0,1,1,10,0.0513136693042977,0.0532795813075069,0.232121886808593,"Organelle biogenesis and maintenance,Mitochondrial biogenesis,Transcriptional activation of mitochondrial biogenesis,Cellular responses to stimuli,Cellular response to chemical stress,Cellular responses to stress,Detoxification of Reactive Oxygen Species"
"18","Gckr",0,1,1,10,0.0433309777231754,0.0312753037039819,0.456793457382841,"Metabolism of carbohydrates,Glucose metabolism,Regulation of Glucokinase by Glucokinase Regulatory Protein,Metabolism,Glycolysis"
"19","Timp1",0,1,1,8,0.0395506800022114,0.0246988421353605,0.497593604202947,"Platelet degranulation ,Hemostasis,Platelet activation, signaling and aggregation,Response to elevated platelet cytosolic Ca2+,Activation of Matrix Metalloproteinases,Extracellular matrix organization,Degradation of the extracellular matrix,Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Post-translational protein modification,Post-translational protein phosphorylation"
"20","Lep",0,1,1,8,0.0393705338055566,0.0293253953556813,0.232349072649959,"Synthesis, secretion, and inactivation of Glucagon-like Peptide-1 (GLP-1),Peptide hormone metabolism,Incretin synthesis, secretion, and inactivation,Metabolism of proteins,Synthesis, secretion, and deacylation of Ghrelin"
"21","Col13a1",1,0,1,10,0.0366612150313392,0.0262908758942593,0.11932621179109,"Collagen degradation,Degradation of the extracellular matrix,Extracellular matrix organization,Collagen biosynthesis and modifying enzymes,Collagen formation,Integrin cell surface interactions,Collagen chain trimerization"
"22","Socs2",0,0,0,10,0.206978683529828,0.529871576998916,0.119943721550194,"Metabolism of proteins,Neddylation,Post-translational protein modification,Cytokine Signaling in Immune system,FLT3 Signaling,Immune System,Negative regulation of FLT3"
"23","Pck1",0,0,0,10,0.159754376319853,0.529871576998916,0.128125256319436,"Metabolism,Metabolism of carbohydrates,Gluconeogenesis,Glucose metabolism"
"24","Pnpla3",0,0,0,6,0.158484331240596,0.745407409569688,0.135290847775947,"Acyl chain remodeling of DAG and TAG,Glycerophospholipid biosynthesis,Metabolism,Metabolism of lipids,Phospholipid metabolism"
"25","Casp6",0,0,0,10,0.110631608705577,0.529871576998916,0.0798801328482367,"Apoptotic execution phase,Apoptotic cleavage of cellular proteins,Apoptosis,Programmed Cell Death,Caspase-mediated cleavage of cytoskeletal proteins,Breakdown of the nuclear lamina"
"26","Nr1h4",0,0,0,10,0.0646432952941618,0.529871576998916,0.520297448651217,"Metabolism,Metabolism of steroids,Bile acid and bile salt metabolism,Recycling of bile acids and salts,Metabolism of lipids,Synthesis of bile acids and bile salts,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Synthesis of bile acids and bile salts via 27-hydroxycholesterol,Endogenous sterols,Biological oxidations,Cytochrome P450 - arranged by substrate type,Phase I - Functionalization of compounds,RNA Polymerase II Transcription,Nuclear Receptor transcription pathway,Generic Transcription Pathway,Gene expression (Transcription),Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of intracellular receptors,Metabolism of proteins"
"27","Tlr4",0,0,0,10,0.0605343316321749,0.529871576998916,0.607292489057722,"Caspase activation via Death Receptors in the presence of ligand,Apoptosis,Programmed Cell Death,Caspase activation via extrinsic apoptotic signalling pathway,Innate Immune System,Toll Like Receptor 4 (TLR4) Cascade,Toll-like Receptor Cascades,Immune System,MyD88-independent TLR4 cascade ,TRIF-mediated programmed cell death,TRIF(TICAM1)-mediated TLR4 signaling ,Regulation of TLR by endogenous ligand,Activation of IRF3/IRF7 mediated by TBK1/IKK epsilon,IKK complex recruitment mediated by RIP1,TRAF6-mediated induction of TAK1 complex within TLR4 complex,Cellular responses to stress,Cellular responses to stimuli,Heme signaling,IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation,Toll Like Receptor 7/8 (TLR7/8) Cascade,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,Toll Like Receptor 9 (TLR9) Cascade,MyD88 dependent cascade initiated on endosome"
"28","Ppara",0,0,0,8,0.0526928097567723,0.582297070840593,0.667321785566716,"RNA Polymerase II Transcription,Nuclear Receptor transcription pathway,Generic Transcription Pathway,Gene expression (Transcription),Metabolism,Regulation of lipid metabolism by PPARalpha,Metabolism of lipids,Post-translational protein modification,SUMOylation,SUMO E3 ligases SUMOylate target proteins,SUMOylation of intracellular receptors,Metabolism of proteins,Cellular response to chemical stress,Cytoprotection by HMOX1,Cellular responses to stimuli,Cellular responses to stress"
"29","Sirt1",0,0,0,10,0.0518421725656284,0.529871576998916,0.685432918792825,"Regulation of HSF1-mediated heat shock response,Cellular responses to stimuli,Cellular response to heat stress,Cellular responses to stress,Gene expression (Transcription),SIRT1 negatively regulates rRNA expression,Epigenetic regulation of gene expression,Negative epigenetic regulation of rRNA expression,Regulation of FOXO transcriptional activity by acetylation,FOXO-mediated transcription,RNA Polymerase II Transcription,Generic Transcription Pathway"
"30","Ppard",0,0,0,10,0.0461403896313208,0.529871576998916,0.819275752743814,"Fatty acid metabolism,Carnitine metabolism,Metabolism,Metabolism of lipids,The citric acid (TCA) cycle and respiratory electron transport,Regulation of pyruvate dehydrogenase (PDH) complex,Pyruvate metabolism,Pyruvate metabolism and Citric Acid (TCA) cycle,RNA Polymerase II Transcription,Nuclear Receptor transcription pathway,Generic Transcription Pathway,Gene expression (Transcription),Signaling by Nuclear Receptors,Signal Transduction,Signaling by Retinoic Acid"
"31","Cpt1a",0,0,0,10,0.0459192468220571,0.529871576998916,0.517950767882428,"Fatty acid metabolism,Carnitine metabolism,Metabolism,Metabolism of lipids,Signaling by Nuclear Receptors,Signal Transduction,Signaling by Retinoic Acid"
"32","Adipoq",0,0,0,6,0.043950098083334,0.745407409569688,0.807772204709161,"Metabolism,Integration of energy metabolism,AMPK inhibits chREBP transcriptional activation activity"
"33","Tnf",0,0,0,8,0.0391771437489299,0.5910298898267,0.732631157249818,"TNF signaling,Signal Transduction,Death Receptor Signalling,TNFR1-induced proapoptotic signaling,Regulation of TNFR1 signaling,TNFR1-induced NFkappaB signaling pathway,TNFR1-mediated ceramide production,TNFR2 non-canonical NF-kB pathway,Immune System,Cytokine Signaling in Immune system"
"34","Tgfb1",0,0,0,10,0.025874840317361,0.529871576998916,0.935566824941807,"Platelet degranulation ,Hemostasis,Platelet activation, signaling and aggregation,Response to elevated platelet cytosolic Ca2+,Cell surface interactions at the vascular wall,Elastic fibre formation,Extracellular matrix organization,Molecules associated with elastic fibres,TGF-beta receptor signaling activates SMADs,Signaling by TGFB family members,Signaling by TGF-beta Receptor Complex,Signal Transduction,Downregulation of TGF-beta receptor signaling,TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition),Syndecan interactions,Non-integrin membrane-ECM interactions,RNA Polymerase II Transcription,Gene expression (Transcription),RUNX3 regulates CDKN1A transcription,Transcriptional regulation by RUNX3,Generic Transcription Pathway,Regulation of RUNX3 expression and activity,RUNX3 regulates p14-ARF"
