,symbol,cons_up,cons_dn,max_cons,total,median_logFC,FDR_comb,Fisher_P.Val,pathway_reactome
18,Apoa5,4,0,4,8,0.22795285,1.10E-05,9.33E-10,"Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Post-translational protein modification,Post-translational protein phosphorylation,Plasma lipoprotein assembly, remodeling, and clearance,Chylomicron remodeling,Plasma lipoprotein remodeling,Transport of small molecules"
19,Als2,4,1,4,8,0.2256827,4.71E-07,7.48E-09,"RAB GEFs exchange GTP for GDP on RABs,Vesicle-mediated transport,Rab regulation of trafficking,Membrane Trafficking,Signaling by Rho GTPases, Miro GTPases and RHOBTB3,Signal Transduction,RHO GTPase cycle,Signaling by Rho GTPases,RAC1 GTPase cycle"
71,Tpm2,0,3,3,10,0.2253718,7.79E-05,0.002556558,"Muscle contraction,Striated Muscle Contraction,Smooth Muscle Contraction"
72,Rab3d,3,1,3,8,0.22519395,1.95E-05,1.83E-12,"Innate Immune System,Neutrophil degranulation,Immune System,Post-translational protein modification,RAB geranylgeranylation,Metabolism of proteins"
20,Ube2e2,4,2,4,10,0.221758275,3.30E-08,1.24E-07,"Adaptive Immune System,Immune System, Ubiquitination & Proteasome degradation,Class I MHC mediated antigen processing & presentation"
73,Blvrb,3,2,3,10,0.22047375,9.52E-07,2.45E-08,"Metabolism of porphyrins,Metabolism,Heme degradation,Cellular response to chemical stress,Cytoprotection by HMOX1,Cellular responses to stimuli,Cellular responses to stress"
74,Pcsk9,0,3,3,10,0.21923275,2.84E-05,0.003304163,"Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Plasma lipoprotein assembly, remodeling, and clearance,VLDLR internalisation and degradation,Plasma lipoprotein clearance,Transport of small molecules,Post-translational protein modification,Post-translational protein phosphorylation,LDL clearance"
75,Nrp1,3,0,3,8,0.21876785,7.75E-05,8.70E-05,"Neurophilin interactions with VEGF and VEGFR,Signaling by VEGF,Signal Transduction,Signaling by Receptor Tyrosine Kinases,Sema3A PAK dependent Axon repulsion,Developmental Biology,Axon guidance,Nervous system development,Semaphorin interactions,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,CRMPs in Sema3A signaling,L1CAM interactions,Signal transduction by L1"
21,Tgoln1,4,0,4,10,0.21867465,7.83E-06,1.54E-07,"Metabolism of proteins,Regulation of Insulin-like Growth Factor (IGF) transport and uptake by Insulin-like Growth Factor Binding Proteins (IGFBPs),Membrane Trafficking,Vesicle-mediated transport,Golgi Associated Vesicle Biogenesis,trans-Golgi Network Vesicle Budding,Intra-Golgi and retrograde Golgi-to-ER traffic,Retrograde transport at the Trans-Golgi-Network,Clathrin-mediated endocytosis,Cargo recognition for clathrin-mediated endocytosis,Post-translational protein modification,Post-translational protein phosphorylation"
76,Adam11,1,3,3,10,0.215889276,2.00E-05,9.94E-06,"LGI-ADAM interactions,Developmental Biology"
22,Slc22a18,0,4,4,8,0.21461955,8.61E-06,6.74E-06,"Organic cation transport,Transport of small molecules,SLC-mediated transmembrane transport,Organic cation/anion/zwitterion transport,Transport of bile salts and organic acids, metal ions and amine compounds"
77,Adora1,1,3,3,10,0.2132933,1.37E-06,0.000667591,"Class A/1 (Rhodopsin-like receptors),GPCR ligand binding,Signaling by GPCR,Nucleotide-like (purinergic) receptors,Adenosine P1 receptors,Signal Transduction,GPCR downstream signalling,G alpha (i) signalling events"
78,Ppm1k,1,3,3,10,0.21255265,1.53E-05,5.20E-11,"Metabolism of amino acids and derivatives,Metabolism,Branched-chain amino acid catabolism"
79,Oat,1,3,3,10,0.2095907,3.10E-05,0.002572603,"Metabolism of amino acids and derivatives,Glutamate and glutamine metabolism,Metabolism"
80,Rapgef4,3,0,3,10,0.2067597,6.03E-05,1.92E-05,"Hemostasis,Platelet Aggregation (Plug Formation),Platelet activation, signaling and aggregation,Signal Transduction,Integrin signaling,Regulation of insulin secretion,Glucagon-like Peptide-1 (GLP1) regulates insulin secretion,Integration of energy metabolism,Metabolism,Immune System,Adaptive Immune System,Rap1 signalling"
81,Prodh,0,3,3,10,0.1988755,0.000187447,0.000256414,"Metabolism,Metabolism of amino acids and derivatives,Proline catabolism"
82,Vps28,0,3,3,4,0.197957618,7.53E-05,0.00021112,"Vesicle-mediated transport,Membrane Trafficking,Endosomal Sorting Complex Required For Transport (ESCRT)"
83,Khk,3,1,3,10,0.19780805,2.76E-05,6.26E-06,"Fructose metabolism,Fructose catabolism,Metabolism,Metabolism of carbohydrates"
23,Prnp,0,4,4,10,0.19357657,7.83E-06,5.97E-11,"Insertion of tail-anchored proteins into the endoplasmic reticulum membrane,Protein localization"
1,Acy3,1,5,5,10,0.19133735,3.92E-08,7.16E-05,"Biological oxidations,Metabolism,Aflatoxin activation and detoxification"
2,Galnt2,5,0,5,10,0.1911648,4.62E-07,8.27E-08,"Intra-Golgi and retrograde Golgi-to-ER traffic,Vesicle-mediated transport,COPI-independent Golgi-to-ER retrograde traffic,Membrane Trafficking,Golgi-to-ER retrograde transport,O-linked glycosylation of mucins,O-linked glycosylation,Post-translational protein modification,Metabolism of proteins"
84,Amdhd1,0,3,3,8,0.19085355,6.78E-05,0.000964895,"Metabolism,Metabolism of amino acids and derivatives,Histidine catabolism"
85,Ehd3,3,0,3,10,0.19084725,0.000660185,0.002276405,"Hemostasis,Factors involved in megakaryocyte development and platelet production"
86,Hexa,0,3,3,10,0.18995135,0.000325009,2.37E-05,"Glycosphingolipid metabolism,Sphingolipid metabolism,Metabolism,Metabolism of lipids,Metabolism of carbohydrates,Keratan sulfate/keratin metabolism,Keratan sulfate degradation,Glycosaminoglycan metabolism,Chondroitin sulfate/dermatan sulfate metabolism,CS/DS degradation,Hyaluronan uptake and degradation,Hyaluronan metabolism"
87,Gabarapl1,1,3,3,10,0.1886249,3.61E-05,7.98E-05,"Macroautophagy,Autophagy"
24,Col4a2,0,4,4,10,0.18850625,1.61E-05,0.000224776,"Collagen degradation,Degradation of the extracellular matrix,Extracellular matrix organization,Collagen biosynthesis and modifying enzymes,Collagen formation,Signaling by Receptor Tyrosine Kinases,Signaling by PDGF,Signal Transduction,Assembly of collagen fibrils and other multimeric structures,Integrin cell surface interactions,Anchoring fibril formation,Crosslinking of collagen fibrils,Laminin interactions,Non-integrin membrane-ECM interactions,Nervous system development,Axon guidance,NCAM1 interactions,NCAM signaling for neurite out-growth,Developmental Biology,Collagen chain trimerization"
88,Col1a1,0,3,3,10,0.18649979,0.000110475,0.002546148,"GPVI-mediated activation cascade,Hemostasis,Platelet activation, signaling and aggregation,Collagen degradation,Degradation of the extracellular matrix,Extracellular matrix organization,Collagen biosynthesis and modifying enzymes,Collagen formation,Immune System,Adaptive Immune System,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,Assembly of collagen fibrils and other multimeric structures,Cell surface interactions at the vascular wall,Integrin cell surface interactions,Anchoring fibril formation,Crosslinking of collagen fibrils,Non-integrin membrane-ECM interactions,ECM proteoglycans,GP1b-IX-V activation signalling,Platelet Adhesion to exposed collagen,Platelet Aggregation (Plug Formation),MET promotes cell motility,Signal Transduction,Signaling by MET,Signaling by Receptor Tyrosine Kinases,MET activates PTK2 signaling,Collagen chain trimerization"
89,Slc7a5,3,0,3,8,0.185918743,0.000226744,0.005107318,"Basigin interactions,Hemostasis,Cell surface interactions at the vascular wall,Transport of small molecules,Amino acid transport across the plasma membrane,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides,Tryptophan catabolism,Metabolism,Metabolism of amino acids and derivatives"
90,Pdk4,3,0,3,10,0.1847618,0.000158243,0.040329535,"The citric acid (TCA) cycle and respiratory electron transport,Metabolism,Regulation of pyruvate dehydrogenase (PDH) complex,Pyruvate metabolism,Pyruvate metabolism and Citric Acid (TCA) cycle,Signaling by Nuclear Receptors,Signal Transduction,Signaling by Retinoic Acid"
25,Aqp1,4,1,4,10,0.1843567,6.65E-07,1.43E-06,"Transport of small molecules,O2/CO2 exchange in erythrocytes,Erythrocytes take up carbon dioxide and release oxygen,Erythrocytes take up oxygen and release carbon dioxide,Vasopressin regulates renal water homeostasis via Aquaporins,Aquaporin-mediated transport,Passive transport by Aquaporins"
26,Crat,4,0,4,10,0.184351635,7.83E-06,7.38E-05,"Fatty acid metabolism,Beta-oxidation of pristanoyl-CoA,Metabolism of lipids,Metabolism,Peroxisomal lipid metabolism,Peroxisomal protein import,Protein localization"
91,Zap70,0,3,3,10,0.183263298,0.000110032,0.000347973,"Adaptive Immune System,TCR signaling,Immune System,Translocation of ZAP-70 to Immunological synapse,Generation of second messenger molecules,Signal Transduction,RHO GTPase cycle,RHOH GTPase cycle,Signaling by Rho GTPases,Signaling by Rho GTPases, Miro GTPases and RHOBTB3"
92,Stard4,3,2,3,10,0.1819902,2.38E-07,0.000638027,"Metabolism of steroid hormones,Pregnenolone biosynthesis,Metabolism of steroids,Metabolism,Metabolism of lipids"
3,Agtr1a,5,1,5,10,0.18137675,2.07E-08,6.18E-12,"GPCR ligand binding,Signaling by GPCR,Peptide ligand-binding receptors,Class A/1 (Rhodopsin-like receptors),Signal Transduction,GPCR downstream signalling,G alpha (q) signalling events,Vesicle-mediated transport,Clathrin-mediated endocytosis,Membrane Trafficking,Cargo recognition for clathrin-mediated endocytosis"
93,Abcd2,3,1,3,10,0.181081704,3.90E-05,7.62E-10,"ABC transporters in lipid homeostasis,Transport of small molecules,ABC-family proteins mediated transport,Class I peroxisomal membrane protein import,Protein localization"
94,Mgll,3,0,3,10,0.1810504,0.000365462,2.11E-05,"Acyl chain remodeling of DAG and TAG,Glycerophospholipid biosynthesis,Metabolism,Metabolism of lipids,Phospholipid metabolism,Signaling by GPCR,Signal Transduction,Platelet activation, signaling and aggregation,Effects of PIP2 hydrolysis,G alpha (q) signalling events,Hemostasis,Arachidonate production from DAG,GPCR downstream signalling"
95,Heatr1,1,3,3,10,0.18089815,9.98E-06,2.03E-07,"Major pathway of rRNA processing in the nucleolus and cytosol,Metabolism of RNA,rRNA processing in the nucleus and cytosol,rRNA processing"
27,Ivd,0,4,4,10,0.17942515,1.59E-05,1.33E-07,"Metabolism of amino acids and derivatives,Metabolism,Branched-chain amino acid catabolism"
96,Rpl12,3,0,3,6,0.178089694,0.000408676,0.000577914,"Eukaryotic Translation Initiation,Translation,Metabolism of proteins,L13a-mediated translational silencing of Ceruloplasmin expression,SRP-dependent cotranslational protein targeting to membrane,Major pathway of rRNA processing in the nucleolus and cytosol,Metabolism of RNA,rRNA processing in the nucleus and cytosol,rRNA processing,Formation of a pool of free 40S subunits,Cap-dependent Translation Initiation,GTP hydrolysis and joining of the 60S ribosomal subunit,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Nonsense-Mediated Decay (NMD),Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
97,Gnl3,3,1,3,10,0.17660205,1.78E-05,4.52E-05,"Major pathway of rRNA processing in the nucleolus and cytosol,Metabolism of RNA,rRNA processing in the nucleus and cytosol,rRNA processing"
98,Uroc1,0,3,3,8,0.17539345,0.000132264,0.011854171,"Metabolism,Metabolism of amino acids and derivatives,Histidine catabolism"
99,Cept1,3,0,3,8,0.17404785,0.000205993,0.000107174,"Phospholipid metabolism,Metabolism of lipids,Metabolism,Synthesis of PC,Glycerophospholipid biosynthesis,Synthesis of PE"
100,Slc7a2,0,3,3,10,0.170741468,0.000325769,0.021927092,"Transport of small molecules,Amino acid transport across the plasma membrane,SLC-mediated transmembrane transport,Transport of inorganic cations/anions and amino acids/oligopeptides"
28,Fabp5,4,0,4,10,0.170626613,1.06E-05,0.002833701,"Metabolism of lipids,Triglyceride catabolism,Triglyceride metabolism,Metabolism,Signaling by Nuclear Receptors,Signal Transduction,Signaling by Retinoic Acid,Innate Immune System,Neutrophil degranulation,Immune System"
101,Bdh2,0,3,3,8,0.17009265,3.16E-05,0.002901922,"Metabolism of lipids,Synthesis of Ketone Bodies,Ketone body metabolism,Metabolism"
102,Mrpl23,1,3,3,6,0.169939,2.18E-05,0.000151306,"Metabolism of proteins,Translation,Mitochondrial translation elongation,Mitochondrial translation,Mitochondrial translation termination"
4,Sae1,0,5,5,10,0.1690515,1.46E-07,4.92E-07,"Post-translational protein modification,SAE1),Metabolism of proteins,SUMOylation,Processing and activation of SUMO,SUMO is transferred from E1 to E2 (UBE2I, UBC9)"
103,Tmem86b,0,3,3,10,0.16747585,0.000187447,0.000113818,"Metabolism of lipids,Metabolism,Glycerophospholipid biosynthesis,Phospholipid metabolism,Acyl chain remodelling of PC"
104,Plxna2,1,3,3,10,0.165386803,3.28E-05,0.002450226,"Sema3A PAK dependent Axon repulsion,Developmental Biology,Axon guidance,Nervous system development,Semaphorin interactions,SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion,CRMPs in Sema3A signaling"
105,Rrm2,3,1,3,10,0.16472305,2.44E-05,2.51E-08,"Metabolism of nucleotides,Interconversion of nucleotide di- and triphosphates,Metabolism"
106,Cyp2f2,0,3,3,10,0.15744845,0.000660185,0.001440038,"Biological oxidations,Fatty acids,Phase I - Functionalization of compounds,Metabolism,Cytochrome P450 - arranged by substrate type,Xenobiotics,CYP2E1 reactions"
107,Acsl1,3,0,3,10,0.157278059,2.51E-05,0.004365333,"Metabolism of lipids,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Linoleic acid (LA) metabolism,Metabolism,Fatty acid metabolism,alpha-linolenic acid (ALA) metabolism,Fatty acyl-CoA biosynthesis,Synthesis of very long-chain fatty acyl-CoAs"
108,Rpl24,3,0,3,6,0.153932277,0.00039839,5.17E-06,"Eukaryotic Translation Initiation,Translation,Metabolism of proteins,L13a-mediated translational silencing of Ceruloplasmin expression,SRP-dependent cotranslational protein targeting to membrane,Major pathway of rRNA processing in the nucleolus and cytosol,Metabolism of RNA,rRNA processing in the nucleus and cytosol,rRNA processing,Formation of a pool of free 40S subunits,Cap-dependent Translation Initiation,GTP hydrolysis and joining of the 60S ribosomal subunit,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Nonsense-Mediated Decay (NMD),Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)"
109,Elovl3,3,0,3,10,0.15355525,7.79E-05,4.34E-06,"Metabolism of lipids,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Linoleic acid (LA) metabolism,Metabolism,Fatty acid metabolism,alpha-linolenic acid (ALA) metabolism,Fatty acyl-CoA biosynthesis,Synthesis of very long-chain fatty acyl-CoAs"
110,Gm2a,3,1,3,10,0.15314795,1.11E-05,9.82E-08,"Glycosphingolipid metabolism,Sphingolipid metabolism,Metabolism,Metabolism of lipids,Innate Immune System,Neutrophil degranulation,Immune System"
111,Arhgef15,3,0,3,8,0.153116289,0.000725504,0.001211805,"Death Receptor Signalling,NRAGE signals death through JNK,Signal Transduction,Cell death signalling via NRAGE, NRIF and NADE,p75 NTR receptor-mediated signalling,Signaling by GPCR,G alpha (12/13) signalling events,GPCR downstream signalling,RHOA GTPase cycle,Signaling by Rho GTPases, Miro GTPases and RHOBTB3,Signaling by Rho GTPases,RHO GTPase cycle,CDC42 GTPase cycle,RAC1 GTPase cycle"
29,Top1,4,0,4,10,0.152531867,3.10E-05,0.00035326,"SUMOylation,Post-translational protein modification,Metabolism of proteins,SUMO E3 ligases SUMOylate target proteins,SUMOylation of DNA replication proteins"
112,Snrpd3,3,0,3,10,0.15017535,0.000325009,4.57E-05,"SLBP independent Processing of Histone Pre-mRNAs,Metabolism of RNA,Processing of Capped Intronless Pre-mRNA,snRNP Assembly,Metabolism of non-coding RNA,mRNA Splicing,mRNA Splicing - Major Pathway,Processing of Capped Intron-Containing Pre-mRNA,mRNA Splicing - Minor Pathway,RNA Polymerase II Transcription Termination,Gene expression (Transcription),RNA Polymerase II Transcription,SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs"
30,Fdxr,0,4,4,10,0.14777265,1.59E-05,7.62E-05,"Metabolism of steroid hormones,Pregnenolone biosynthesis,Metabolism of steroids,Metabolism,Metabolism of lipids,Endogenous sterols,Biological oxidations,Cytochrome P450 - arranged by substrate type,Phase I - Functionalization of compounds,Mitochondrial iron-sulfur cluster biogenesis,Electron transport from NADPH to Ferredoxin"
113,Ranbp10,3,0,3,10,0.14720895,0.000187447,0.001611607,"Signal Transduction,MET activates RAS signaling,Signaling by Receptor Tyrosine Kinases,Signaling by MET"
114,Pigr,1,3,3,10,0.14700234,2.76E-05,0.006957076,"Innate Immune System,Neutrophil degranulation,Immune System"
115,Glo1,3,0,3,8,0.14637745,0.000357165,0.0013234,"Metabolism,Pyruvate metabolism and Citric Acid (TCA) cycle,Pyruvate metabolism,The citric acid (TCA) cycle and respiratory electron transport"
